organisme;salaire;trailer;CDI_CDD;lieu;experience;salaire mini;salaire maxi
MANAGEMENT INFORMATIQUE & NOUVELLES TECHNOLOGIES CONSEIL;45 - 60 k€ brut annuel ;Dans le cadre du développement de nos activités nous recherchons pour nos clients grands coimotes du secteur télécom un Consultant data Scientist et Python.  Le contexte du projet est de compléter l’une des squads du périmètre MEA pour  Répliquer le use case smart capex dans de...;CDI ;Paris 01 - 75 ;Aucune expérience exigée;45;60
Antoine Van Eeckhout;35 - 45 k€ brut annuel ;Au sein d'une société ETI dans le domaine de l'IT (Bureautique, Cloud et Logiciels), vous aurez pour mission d'aider au développement informatique d'un outil de mesure et de réduction de l'empreinte carbone dans le domaine du numérique en collaboration avec l'équipe GREEN IT. ...;CDI ;Rillieux-la-Pape - 69 ;Tous niveaux d'expérience acceptés;35;45
Antoine Van Eeckhout;35 - 45 k€ brut annuel ;Au sein d'une société ETI dans le domaine de l'IT (Bureautique, Cloud et Logiciels), vous aurez pour mission d'aider au développement informatique d'un outil de mesure et de réduction de l'empreinte carbone dans le domaine du numérique en collaboration avec l'équipe GREEN IT. ...;CDI ;Lyon 02 - 69 ;Tous niveaux d'expérience acceptés;35;45
SILKHOM;50 - 60 k€ brut annuel ;Sous la responsabilité du CTO, en binôme avec un Data Scientist, et au sein d’une équipe composée de 2 développeurs et d’un PO, vous concevrez un calculateur d’empreinte carbone.  Dans un premier temps, vous créerez une architecture permettant d’ingérer des fichiers PDF ou Excel...;CDI ;Paris 08 - 75 ;Minimum 1 an;50;60
Unédic;A partir de 45 k€ brut annuel ;Au sein du département « Aide à la décision » (env. 6 personnes) de la Direction Etudes et Analyses (DEA) de l’Unédic, sous la responsabilité du responsable de département, il/elle a pour principales missions de :  Réaliser des études et des analyses relatives au marché du...;CDI ;Paris 12 - 75 ;Tous niveaux d'expérience acceptés;45;45
Unédic;A partir de 45 k€ brut annuel ;Au sein du département « Etudes, Evaluation et Prévision » (8 personnes) de la Direction Etudes et Analyses (DEA) de l’Unédic, sous la responsabilité du responsable de département, il/elle a pour principales missions de :  Réaliser des études et des analyses relatives au marché...;CDI ;Paris 12 - 75 ;Tous niveaux d'expérience acceptés;45;45
FACTSET JCF;A partir de 80 k€ brut annuel ;"Que ferez-vous ?  Diriger une équipe d’ingénieurs et de développeurs en machine learning Aider à concevoir des solutions avec ML et NLP; Veiller à être aligné avec les besoins de l’entreprise ; Montrer la voie aux membres débutants de l’équipe; Collaborer avec d’autres équipes...";CDI ;Paris 09 - 75 ;Minimum 8 ans;80;80
REUNIWATT;30 - 42 k€ brut annuel ;Contexte  Afin de couvrir les différents besoins en prévision de ses clients, Reuniwatt a développé un large éventail de technologies. Avec pour enjeu final la sécurité de l’approvisionnement en énergie, les chaînes d’acquisition et de traitements doivent répondre aux exigences...;CDI ;Saint-Pierre - 974 ;Tous niveaux d'expérience acceptés;30;42
BLOCKSI SAS;38 - 39 k€ brut annuel ;Blocksi SAS est à la recherche d'un ingénieur Data Scientist spécialisé dans le traitement automatique du langage (Natural Language Processing) avec au moins 1 an d'expérience dans une entreprise ou un centre de recherche traitant de ces technologies.  Cet ingénieur Data...;CDI ;Valbonne - 06 ;Minimum 1 an;38;39
TRSB;A partir de 50 k€ brut annuel ;Sur la base de discussions avec le Product owner, les experts métiers, les responsables applicatifs et les développeurs, vous serez chargé de :  - Acquérir une compréhension claire des business cases, de l'application et des expériences NLP déjà exécutées.  - Fournir un énoncé...;CDI ;Paris 08 - 75 ;Minimum 5 ans;50;50
MR Search;80 - 100 k€ brut annuel ;Vos missions principales seront les suivantes :    - Gestion de l’équipe de Data Scientists.  - Construire des modèles descriptifs et prédictifs sur des sujets en constante évolution.  - Accompagner la montée en compétences d’autres Data Scientists.  - Mener des projets...;CDI ;Paris 17 - 75 ;Minimum 10 ans;80;100
Seyos;A partir de 55 k€ brut annuel ;Notre client est un Ã©diteur franÃ§ais, ayant pour objectif de fournir des solutions de recrutement aux entreprises et Ã©tablissements d'enseignement supÃ©rieur dans le but de recruter leurs nouveaux talents et surtout de faciliter l'insertion des récent(e)s diplÃ´mÃ©(e)s dans...;CDI ;Paris 01 - 75 ;Minimum 5 ans;55;55
OBE CONSULTING;A partir de 40 k€ brut annuel ;En tant que Data Engineer confirmé vos tâches principales sont les suivantes :  - Développer des workflows de données sur environnements Big Data (Hadoop, Pig, Spark, Kafka, …)  - Participer au développement de nouvelles solutions  - Collaborer avec les Data Scientist de...;CDI ;Valbonne - 06 ;Minimum 2 ans;40;40
BLOCKSI SAS;35 - 42 k€ brut annuel ;- Concevoir l’architecture technique nécessaire pour la valorisation de données . Définir et valider les choix architecturaux des solutions [Big] Data à adopter.  - Fournir l’expertise technologique nécessaire pour développer les solutions data appropriées aux différents cas...;CDI ;Valbonne - 06 ;Minimum 1 an;35;42
SAS RECHERCHES ET HORIZONS;50 - 70 k€ brut annuel ;Au sein de l'équipe ML Ops et en collaboration avec les Data Scientist, vous allez récupérer les Pocs afin d'assurer leur mise en production et la création de l'infrastructure. Le but va être de faire en sorte que les algorithmes tournent en production. Vous allez ainsi faire de...;CDI ;Paris 01 - 75 ;Minimum 3 ans;50;70
avisto;35 - 50 k€ brut annuel ;AViSTO recherche un(e) ingénieur(e) Data pour intervenir en tant que Data Engineer/Data scientist au sein d'un projet de traitement de la donnée dans le secteur du semi-conducteur.  Vous travaillez depuis notre bureau d'étude au sein de l'équipe Data Analystics.  Dans ce...;CDI ;Cachan - 94 ;Minimum 2 ans;35;50
Silkhom;45 - 60 k€ brut annuel ;Relié au responsable BU Digital, vous travaillerez en méthodologie agile sur la création d’une application capable de reconnaître les pièces des voies ferrées et leur offrir une seconde vie.  Au sein de ce véritable laboratoire technologique, vous serez accompagné de deux Data...;CDI ;Lille - 59 ;Minimum 3 ans;45;60
DIGIT VALUE;40 - 45 k€ brut annuel ;Mission  Au sein d’une équipe Data en charge de la conception d’algorithme en IA et management de la donnée, vous travaillerez en étroite collaboration avec les Data Scientist, à l’industrialisation et la mise en production des data des solutions logicielles.  Votre mission sera...;CDI ;Valbonne - 06 ;Minimum 3 ans;40;45
Datatorii;45 - 55 k€ brut annuel ;La communication en entreprise, interne ou externe, est de plus en plus influencée par la restitution de données, que ce soit via des dashboards, des rapports interactifs ou des présentations au Top Management.  Chez Datatorii, vous évoluerez au sein d’un dispositif...;CDI ;Paris 01 - 75 ;Tous niveaux d'expérience acceptés;45;55
Datatorii;45 - 55 k€ brut annuel ;Vous effectuez des missions à forte valeur ajoutée au sein de dispositifs pluridisciplinaires (Ingénieur, Data Scientist, Architecte, Chef de projet, Formateur, etc.)  Vous intervenez en AMOA et MOE sur des projets majeurs de transformation des usages de la Business Intelligence...;CDI ;Paris 01 - 75 ;Tous niveaux d'expérience acceptés;45;55
GROUPE AYDON;35 - 45 k€ brut annuel ;"Acheminement de la donnée • Mise à disposition de la donnée aux équipes utilisatrices • Mise en production de modèles statistiques Suivi de projet de développement  • Développement job spark • Traitement et ingestion de plusieurs formats des données ; • Développement des scripts...";CDI ;Nantes - 44 ;Minimum 3 ans;35;45
Datatorii;45 - 55 k€ brut annuel ;Vous effectuez des missions à forte valeur ajoutée au sein de dispositifs pluridisciplinaires (Ingénieur, Data Scientist, Architecte, Chef de projet, Formateur, etc.)  Vous intervenez en AMOA et MOE sur des projets majeurs de transformation des usages de la Business Intelligence...;CDI ;Paris 01 - 75 ;Tous niveaux d'expérience acceptés;45;55
MYCOM FRANCE;A partir de 65 k€ brut annuel ;Objectif :  Ce rôle a un impact direct sur la croissance des activités de l’entreprise. Vous contribuez grandement à influencer et à mettre en œuvre la vision stratégique de l’entreprise en matière de cas d’utilisation de l’IA / ML au sein de nos clients.  Vous travaillerez en...;CDI ;Puteaux - 92 ;Minimum 5 ans;65;65
Aide rh;45 - 45 k€ brut annuel ;Afin de pouvoir absorber toute la complexité des Supply Chain de nos clients ?, la plateforme présente une forte logique métier, avec différents services imbriqués qui communiquent entre eux. Nous cherchons donc un ?Full-Stack Engineer,? capable de résoudre des problèmes ?. Au...;CDI ;Paris 01 - 75 ;Tous niveaux d'expérience acceptés;45;45
SILKHOM;45 - 60 k€ brut annuel ;Rattaché au CEO de l’entreprise, et en binôme avec un autre Ingénieur Data, vous travaillerez en lien avec les ingénieurs logiciel et chefs de projets notamment sur les sujets suivants :  ?L’amélioration de l’algorithme de scoring produit  ?L’optimisation des chargements de...;CDI ;Marcq-en-Baroeul - 59 ;Minimum 2 ans;45;60
Aide rh;55 - 55 k€ brut annuel ;Dans le cadre de notre croissance, nos équipes Tech grandissent. Nous créons une nouvelle Squad et nous recherchons le(la) futur manager de celle-ci.En tant que Lead Software Engineer, ta mission principale sera d'assurer la qualité et la vélocité des développements sur le...;CDI ;Paris 01 - 75 ;Minimum 4 ans;55;55
SILKHOM;40 - 50 k€ brut annuel ;Au sein d’une équipe technique de 3 personnes (1 CTO, 1 Data Scientist, 1 Développeur front), vous travaillez sur l’application mobile utilisée par les consommateurs.  Vos taches seront les suivantes : - Analyser les exigences techniques en fonction des cahiers des charges -...;CDI ;Limonest - 69 ;Minimum 2 ans;40;50
Louise Rochas;40 - 50 k€ brut annuel ;Au sein d’une équipe technique de 3 personnes (1 CTO, 1 Data Scientist, 1 Développeur front) évoluant en méthodologie Agile vous travaillez sur une application permettant à l’entreprise d’améliorer son activité, la production de vêtements et l’utilisation de ceux-ci :  Vos...;CDI ;Limonest - 69 ;Minimum 2 ans;40;50
JOBOPPORTUNIT;42 - 65 k€ brut annuel ;L'équipe informatique sur Londres est composée d'un CTO, également co-fondateur français, et de plusieurs Data Scientist, du lead dev et développeurs. Déjà 7 personnes ont été embauchées en passant par nous, et surtout, elles sont toujours en poste !  Encadré par le responsable...;CDI ;Valbonne - 06 ;Minimum 1 an;42;65
OPTIMA ENERGIE;30 - 40 k€ brut annuel ;Dans le cadre de sa très forte croissance, Optima Energie recrute sa.son futur.e Développeur.se en CDI.  Au sein de votre équipe composée du Responsable IT et de notre Data Scientist, vous apportez votre expertise technique et votre polyvalence sur l’ensemble de nos sujets IT,...;CDI ;Plescop - 56 ;Minimum 3 ans;30;40
Seyos;60 - 60 k€ brut annuel ;Notre client, est un Ã©diteur de logiciels SaaS composÃ© de 287 collaborateurs (147 sur Paris) qui dÃ©veloppe une plateforme de dÃ©tection des dÃ©clarations frauduleuses aux assurances grÃ¢ce Ã l'IA. Avec des agences Ã Boston, Tokyo, Singapour, Londres, Madrid, Zurich et Hong...;CDI ;Paris 12 - 75 ;Minimum 4 ans;60;60
Seyos;60 - 65 k€ brut annuel ;Notre client, est un Ã©diteur de logiciels SaaS composÃ© de 287 collaborateurs (147 sur Paris) qui dÃ©veloppe une plateforme de dÃ©tection des dÃ©clarations frauduleuses aux assurances grÃ¢ce Ã l'IA. Avec des agences Ã Boston, Tokyo, Singapour, Londres, Madrid, Zurich et Hong...;CDI ;Paris 12 - 75 ;Minimum 4 ans;60;65
RTM (REGIE DES TRANSPORTS METROPOLITAINS);42 - 47 k€ brut annuel ;Au sein du Département Marketing, vous administrez opérationnellement les bases de données relatives à nos réseaux de transport et nos marchés, les enrichissez et les exploitez opérationnellement. Vous les analysez afin d’élaborer des présentations, notes d’analyse et...;CDI ;Marseille 02 - 13 ;Minimum 3 ans;42;47
Seyos;A partir de 70 k€ brut annuel ;Notre client final, est un éditeur de logiciels SaaS composé de 387 collaborateurs (198 sur Paris) qui développe une plateforme de détection des déclarations frauduleuses aux assurances grâce à l'IA. Avec des agences à Boston, Tokyo, Singapour, Londres, Madrid, Zurich et Hong...;CDI ;Paris 12 - 75 ;Minimum 5 ans;70;70
Seyos;60 - 70 k€ brut annuel ;Notre client final, est un éditeur de logiciels SaaS composé de 387 collaborateurs (198 sur Paris) qui développe une plateforme de détection des déclarations frauduleuses aux assurances grâce à l'IA. Avec des agences à Boston, Tokyo, Singapour, Londres, Madrid, Zurich et Hong...;CDI ;Paris 12 - 75 ;Minimum 5 ans;60;70
SYLFEN;A partir de 50 k€ brut annuel ;Chez Sylfen, « l’énergie est au cœur de la civilisation humaine ».  Et le HUB, cela vous évoque quoi ? Il s’agit de solutions de gestion de l’énergie !  Rattaché au Directeur des Opérations, vous avez la responsabilité clé de poursuivre le développement de notre logiciel client...;CDI ;Grenoble - 38 ;Minimum 3 ans;50;50
Seyos;A partir de 70 k€ brut annuel ;Notre client final, est un Ã©diteur de logiciels SaaS composÃ© de 387 collaborateurs (198 sur Paris) qui dÃ©veloppe une plateforme de dÃ©tection des dÃ©clarations frauduleuses aux assurances grÃ¢ce Ã l'IA. Avec des agences Ã Boston, Tokyo, Singapour, Londres, Madrid, Zurich et...;CDI ;Paris 12 - 75 ;Minimum 5 ans;70;70
ADALTAS;A partir de 45 k€ brut annuel ;Afin d'accompagner le département recherche et dévelopement du leader du secteur de l'energie, nous recherchons un Big data engineer.  Vos missions :  Fiabiliser la MCO des différents services en ajoutant des fonctionnalités qui facilitent l’exploitation du système..  o Ajout de...;CDI ;Boulogne-Billancourt - 92 ;Minimum 2 ans;45;45
INSTITUT NATIONAL DE LA PROPRIETE INDUSTRIELLE;A partir de 19 k€ brut annuel ;"Contrat d'apprentissage de 12 mois en Data Science sur le thème : ""Identification et profilage des entreprises innovantes""  Une des missions principales de l’INPI est d’accompagner les entreprises dans la création, le développement et l’optimisation de leur stratégie...";CDD et Alternance – Contrat d'apprentissage ;Courbevoie - 92 ;Aucune expérience exigée;19;19
ENERGISME;38 - 45 k€ brut annuel ;?? Tu participeras, dans cette équipe, au développement sur Spark du produit technique.  Ce produit, c'est DATAMART : il a pour objectif d’effectuer des calculs sur de grandes quantités de données. Il s'agit d’un écosystème riche comprenant ElasticSearch, Cassandra, Kafka, HBase...;CDI ;Boulogne-Billancourt - 92 ;Minimum 1 an;38;45
BTI - ADVISORY;70 - 75 k€ brut annuel ;En tant qu’Architecte SI et Data, vous aurez pour principale mission de permettre à nos clients d’accélérer l’évolution de leurs SI pour répondre aux exigences du marché en termes d’innovation, de time to market et de transformation de leurs activités. En rejoignant notre...;CDI ;Levallois-Perret - 92 ;Minimum 8 ans;70;75
FRAMATOME;45 - 65 k€ brut annuel ;Ce poste est rattaché au responsable du domaine BUILD EUW, il a en charge la définition de l'architecture des services EUW. Vos missions : Accompagner les métiers afin de cadrer les besoins et structurer leur RoadMap de projets / technologiques et en particulier au niveau...;CDI ;Courbevoie - 92 ;Minimum 2 ans;45;65
UMANIS;30 - 50 k€ brut annuel ;Dans le cadre du développement de notre activité, nous recherchons un Consultant Big Data (H/F) pour intervenir auprès de nos clients à Lyon. Venez vivre une aventure à taille humaine en rejoignant notre équipe !  ?? Vos missions :  Recueillir les besoins métiers et des équipes...;CDI ;Lyon 09 - 69 ;Minimum 1 an;30;50
TALENTS RH;40 - 50 k€ brut annuel ;TALENTS RH, société de recrutement spécialisée Profils Rares & Hautes Compétences, recherche, pour l’un de ses partenaires, des Consultants Architectes Big Data F/H.      Missions :    · Apporter un autre regard et une très forte expertise technique  · Avoir de solides...;CDI ;Paris 01 - 75 ;Minimum 2 ans;40;50
TOHTEM IT;35 - 45 k€ brut annuel ;Nous recrutons un(e) Consultant Big Data (H/F) pour accompagner un de nos clients situé à Blagnac.  Intégré(e) à la DSI de notre client, vous travaillerez en collaboration avec une équipe d’une dizaine de consultant et vous apporterez votre contribution au projet.  Voici...;CDI ;Blagnac - 31 ;Minimum 2 ans;35;45
SCIENT;A partir de 45 k€ brut annuel ;Nous cherchons un (e) Consultant Big Data/Talend (H/F)  En coordination avec un architecte et aussi avec les chefs de projets et l'équipe delivery/run, le consultant proposera les solutions les plus adaptées aux besoins métiers qui lui seront soumis. Maîtrise des interfaces...;CDI ;Paris 01 - 75 ;Minimum 3 ans;45;45
